sample,NAME,ACCESSION,SUBPOPULATION,COUNTRY,86,12,11,10,9,8,6,5,4,3
B001,HEIBIAO,IRGC 135900,temp,,0,10,10,10,10,10,10,11,11,11
B002,SANSUIJIN,IRGC 136041,temp,,0,10,10,10,10,10,10,11,11,11
B003,ZAOSHENGBAI,IRGC 136088,japx,,0,8,8,0,0,0,0,11,11,11
B004,QIUGUANGTENGXI 104,IRGC 136031,temp,,0,10,10,10,10,10,10,11,11,11
B005,WANSHI,IRGC 136067,temp,,0,10,10,10,10,10,10,11,11,11
B006,YIKONG,IRGC 136078,indx,,0,7,7,7,0,0,3,3,3,3
B007,TIANHANDAO,IRGC 136055,indx,,0,7,7,7,0,0,3,3,3,3
B008,BAXIANG,,temp,,0,10,10,10,10,10,10,11,11,11
B009,VIETNAM ZAODAO,IRGC 136065,ind1A,,0,3,3,3,3,3,3,3,3,3
B010,MALAIHONG,,ind1A,,0,3,3,3,3,3,3,3,3,3
B011,CO 22,IRGC 135870,indx,,0,7,7,7,0,0,3,3,3,3
B012,2037(RAJAHAMSAL),IRGC 135815,ind2,,0,5,5,5,5,5,3,3,3,3
B013,SRI LANKA 1,IRGC 136049,indx,,0,7,7,7,0,0,3,3,3,3
B014,WUZILUOSI 215,IRGC 136072,temp,,0,10,10,10,10,10,10,11,11,11
B015,KAHAMU,IRGC 135963,ind1A,,0,3,3,3,3,3,3,3,3,3
B016,AOMIERTE 168,IRGC 135829,temp,,0,10,10,10,10,10,10,11,11,11
B017,AERJITUO,IRGC 135822,temp,,0,10,10,10,10,10,10,11,11,11
B018,AMERICAN HUANGKEDAO,IRGC 135827,trop,,0,11,11,11,11,11,11,11,11,11
B019,BULEIDA A-75,IRGC 135852,indx,,0,7,7,7,0,0,3,3,3,3
B020,JINEIYADAO,IRGC 135958,admix,,0,0,0,0,0,0,0,0,0,0
B021,SELN 244A6-20,IRGC 136044,indx,,0,7,7,7,0,0,3,3,3,3
B023,GAOLIQIU,IRGC 135891,temp,,0,10,10,10,10,10,10,11,11,11
B024,XIANLUOSICHI,IRGC 136076,ind1A,,0,3,3,3,3,3,3,3,3,3
B025,DJANDA MANDJA,IRGC 135881,trop,,0,11,11,11,11,11,11,11,11,11
B026,PADI LADANG ASE POLO KOMEK,IRGC 136017,indx,,0,7,7,7,0,0,3,3,3,3
B027,C 894-21,IRGC 135858,ind3,,0,6,6,6,6,6,3,3,3,3
B028,IR 10179-23-1-3,IRGC 135917,indx,,0,7,7,7,0,0,3,3,3,3
B029,DUMAI,IRGC 135885,ind1B,,0,4,3,3,3,3,3,3,3,3
B030,JAIBATTEY,IRGC 135950,indx,,0,7,7,7,0,0,3,3,3,3
B031,NGATSIN,IRGC 136007,ind2,,0,5,5,5,5,5,3,3,3,3
B032,ROHINI,IRGC 136034,ind1B,,0,4,3,3,3,3,3,3,3,3
B033,BW 293-2,IRGC 135853,ind1B,,0,4,3,3,3,3,3,3,3,3
B034,ALBANIA RICE,IRGC 135825,temp,,0,10,10,10,10,10,10,11,11,11
B035,AMERICAN RICE,IRGC 135828,indx,,0,7,7,7,0,0,3,3,3,3
B036,JIJUCAS CLARO,IRGC 135955,japx,,0,8,8,0,0,0,0,11,11,11
B037,NANOAY P.A,IRGC 135999,trop,,0,11,11,11,11,11,11,11,11,11
B038,NABATED A SMAR,IRGC 135997,temp,,0,10,10,10,10,10,10,11,11,11
B039,IRAT 10,IRGC 135940,indx,,0,7,7,7,0,0,3,3,3,3
B040,K 24,IRGC 135962,indx,,0,7,7,7,0,0,3,3,3,3
B043,YR 83-23-11,IRGC 136081,trop,,0,11,11,11,11,11,11,11,11,11
B044,SANTIANNUO,IRGC 136042,indx,,0,7,7,7,0,0,3,3,3,3
B045,GONGCHENGXIANG,IRGC 135896,temp,,0,10,10,10,10,10,10,11,11,11
B046,QIUTIANXIAOTING,IRGC 136032,temp,,0,10,10,10,10,10,10,11,11,11
B047,ZHENFU 8,IRGC 136092,temp,,0,10,10,10,10,10,10,11,11,11
B048,CISOKAN,IRGC 135868,ind1B,,0,4,3,3,3,3,3,3,3,3
B049,ZACAODAO 13,IRGC 136086,aus,,0,2,2,2,2,2,2,2,2,3
B051,GZ 1368-5-4,IRGC 135899,indx,,0,7,7,7,0,0,3,3,3,3
B052,J34,IRGC 135949,ind2,,0,5,5,5,5,5,3,3,3,3
